sample_id,score1,score2,score3,score4,score5,score6
25-178,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
25-276,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
25-299,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
25-336,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
25-348,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
25-438,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
25-445,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
25-458,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
25-483,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
25-549,PGS001779,PGS004911,PGS004862,PGS005168,PGS002276,HaydarlouHCM
