task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	db/b83d57	44286818	QC:PLINK2_VCF (brugada)	CACHED	0	2025-05-27 16:37:32.493	6m 53s	6m 16s	113.6%	2.3 GB	8.2 GB	16.3 GB	2.9 GB
1	07/290b7a	44286751	COLLECT_SCOREFILES	CACHED	0	2025-05-27 16:32:17.575	54.8s	3.4s	2.4%	9.3 MB	239.9 MB	46.1 MB	46 MB
5	29/c419fc	44287755	PGSCCALC:COMBINE_SCOREFILES	CACHED	0	2025-05-27 17:54:03.474	21m 55s	1m 26s	96.4%	2.1 GB	2.3 GB	192.6 MB	65 MB
4	cc/6971c9	44286888	QC:FLAG_SAMPLES_AWK (brugada)	CACHED	0	2025-05-27 16:44:26.008	14m 59s	751ms	3.9%	1.4 MB	4.2 MB	181.3 KB	1.1 KB
8	c3/0acb4e	44290046	PGSCCALC:MATCH:MATCH_VARIANTS (brugada chromosome ALL)	CACHED	0	2025-05-27 21:14:14.570	57.7s	27.6s	159.7%	6.1 GB	10.2 GB	25.9 MB	1 GB
15	8e/38cf55	44290826	PGSCCALC:MATCH:MATCH_COMBINE (brugada)	CACHED	0	2025-05-27 21:39:15.827	2m 57s	2m 29s	106.3%	1.7 GB	3.2 GB	1.6 GB	391.3 MB
17	46/d182e3	44290836	PGSCCALC:APPLY_SCORE:RELABEL_SCOREFILES (reference additive scorefile)	CACHED	0	2025-05-27 21:42:13.716	1m 59s	1m 10s	97.6%	2.3 GB	2.4 GB	233.9 MB	10 MB
19	8e/7646d5	44290865	PGSCCALC:APPLY_SCORE:PLINK2_SCORE (brugada chromosome ALL effect type additive 0)	CACHED	0	2025-05-27 21:45:12.599	59.8s	6.8s	136.1%	1.6 GB	8.1 GB	820.2 MB	14.4 MB
20	2f/eac753	44290866	PGSCCALC:APPLY_SCORE:PLINK2_SCORE (brugada chromosome ALL effect type additive 1)	CACHED	0	2025-05-27 21:45:12.802	59.6s	5.1s	133.2%	1.5 GB	8.1 GB	522.8 MB	3.4 MB
21	31/fdf7f1	44290867	PGSCCALC:APPLY_SCORE:PLINK2_SCORE (reference chromosome ALL effect type additive 0)	CACHED	0	2025-05-27 21:45:13.526	2m 59s	2m 21s	41.8%	7 GB	8.1 GB	7.9 GB	14.5 MB
18	3a/a42407	44290839	PGSCCALC:APPLY_SCORE:RELABEL_SCOREFILES (reference additive scorefile)	CACHED	0	2025-05-27 21:42:15.687	1m 57s	56.7s	100.8%	2.2 GB	2.3 GB	226.2 MB	2.2 MB
25	50/d971e4	44290868	PGSCCALC:APPLY_SCORE:PLINK2_SCORE (reference chromosome ALL effect type additive 1)	CACHED	0	2025-05-27 21:45:14.579	4m 58s	4m 45s	14.6%	7 GB	8.1 GB	3.6 GB	3.5 MB
26	91/686daf	44290898	PGSCCALC:APPLY_SCORE:SCORE_AGGREGATE (brugada)	CACHED	0	2025-05-27 21:50:13.072	59.4s	14.5s	71.6%	435.2 MB	771.8 MB	114.4 MB	177.8 KB
27	8c/ecb6a8	44290900	PGSCCALC:REPORT:ANCESTRY_ANALYSIS (1)	CACHED	0	2025-05-27 21:51:12.737	59.7s	8.8s	91.0%	211.1 MB	599.5 MB	52.4 MB	482.3 KB
30	e9/79d5f8	44303490	GENERATE_REPORTS	COMPLETED	0	2025-05-28 11:43:50.753	2m 41s	1m 55s	18.7%	656.7 MB	1 TB	94.6 MB	23.9 MB
28	a6/7bd68f	44303489	PGSCCALC:DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2025-05-28 11:43:49.771	3m 42s	9.7s	0.6%	6.5 MB	14.6 MB	821.7 KB	4.2 KB
29	8b/ffedc7	44303491	PGSCCALC:REPORT:SCORE_REPORT (brugada)	COMPLETED	0	2025-05-28 11:43:50.843	4m 40s	50.4s	16.1%	411.2 MB	1 TB	34.9 MB	8.2 MB
